BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
2012,2025,February,Assam,Rural,Food and Beverages,Non-alcoholic Beverages,171.1,1.72
2012,2025,February,Assam,Rural,Food and Beverages,*,190.6,4.84
2012,2025,February,Assam,Rural,"Pan, Tobacco and Intoxicants",*,214.1,-2.37
2012,2025,February,Assam,Rural,Clothing and Footwear,Clothing,188.3,1.35
2012,2025,February,Assam,Rural,Clothing and Footwear,Footwear,188.3,2.62
2012,2025,February,Assam,Rural,Clothing and Footwear,*,188.3,1.51
2012,2025,February,Assam,Rural,Fuel and Light,*,257.4,4.46
2012,2025,February,Assam,Rural,Miscellaneous,Household Goods and Services,189.8,2.93
2012,2025,February,Assam,Rural,Miscellaneous,Health,202.3,5.58
2012,2025,February,Assam,Rural,Miscellaneous,Transport and Communication,179,4.99
2012,2025,February,Assam,Rural,Miscellaneous,Education,197,2.82
2012,2025,February,Assam,Rural,Miscellaneous,*,188.5,4.2
2012,2025,February,Assam,Urban,Food and Beverages,Cereals and Products,200.1,6.78
2012,2025,February,Assam,Urban,Food and Beverages,Meat and Fish,202,4.83
2012,2025,February,Assam,Urban,Food and Beverages,Egg,175.4,-5.04
2012,2025,February,Assam,Urban,Food and Beverages,Fruits,183.2,4.03
2012,2025,February,Assam,Urban,Food and Beverages,Vegetables,215.2,4.42
2012,2025,February,Assam,Urban,Food and Beverages,Pulses and Products,180.5,5.68
2012,2025,February,Assam,Urban,Food and Beverages,Spices,204.7,0.94
2012,2025,February,Assam,Urban,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",213.4,6.27
2012,2025,February,Assam,Urban,Food and Beverages,Non-alcoholic Beverages,184.8,5.06
2012,2025,February,Assam,Urban,Food and Beverages,*,197.2,5.34
2012,2025,February,Assam,Urban,"Pan, Tobacco and Intoxicants",*,213.2,5.44
2012,2025,February,Assam,Urban,Clothing and Footwear,Clothing,188.6,2.78
2012,2025,February,Assam,Urban,Clothing and Footwear,Footwear,195.3,5.74
2012,2025,February,Assam,Urban,Clothing and Footwear,*,189.6,3.21
2012,2025,February,Assam,Urban,Fuel and Light,*,240.4,-0.66
2012,2025,February,Assam,Urban,Miscellaneous,Household Goods and Services,199.5,8.01
2012,2025,February,Assam,Urban,Miscellaneous,Health,210.1,5.42
2012,2025,February,Assam,Urban,Miscellaneous,Transport and Communication,165.8,5.54
2012,2025,February,Assam,Urban,Miscellaneous,Education,175.3,4.28
2012,2025,February,Assam,Urban,Miscellaneous,*,186.3,6.64
2012,2025,February,Bihar,Combined,Food and Beverages,Cereals and Products,197.4,7.99
2012,2025,February,Bihar,Combined,Food and Beverages,Meat and Fish,211,7.54
