,BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
189,2012,2025,February,Assam,Rural,Miscellaneous,Residual,188.5,4.2
190,2012,2025,February,Assam,Urban,Food and Beverages,Cereals and Products,200.1,6.78
191,2012,2025,February,Assam,Urban,Food and Beverages,Meat and Fish,202,4.83
192,2012,2025,February,Assam,Urban,Food and Beverages,Egg,175.4,-5.04
193,2012,2025,February,Assam,Urban,Food and Beverages,Fruits,183.2,4.03
194,2012,2025,February,Assam,Urban,Food and Beverages,Vegetables,215.2,4.42
195,2012,2025,February,Assam,Urban,Food and Beverages,Pulses and Products,180.5,5.68
196,2012,2025,February,Assam,Urban,Food and Beverages,Spices,204.7,0.94
197,2012,2025,February,Assam,Urban,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",213.4,6.27
198,2012,2025,February,Assam,Urban,Food and Beverages,Non-alcoholic Beverages,184.8,5.06
199,2012,2025,February,Assam,Urban,Food and Beverages,Residual,197.2,5.34
200,2012,2025,February,Assam,Urban,"Pan, Tobacco and Intoxicants",Residual,213.2,5.44
201,2012,2025,February,Assam,Urban,Clothing and Footwear,Clothing,188.6,2.78
202,2012,2025,February,Assam,Urban,Clothing and Footwear,Footwear,195.3,5.74
203,2012,2025,February,Assam,Urban,Clothing and Footwear,Residual,189.6,3.21
204,2012,2025,February,Assam,Urban,Fuel and Light,Residual,240.4,-0.66
205,2012,2025,February,Assam,Urban,Miscellaneous,Household Goods and Services,199.5,8.01
206,2012,2025,February,Assam,Urban,Miscellaneous,Health,210.1,5.42
207,2012,2025,February,Assam,Urban,Miscellaneous,Transport and Communication,165.8,5.54
208,2012,2025,February,Assam,Urban,Miscellaneous,Education,175.3,4.28
209,2012,2025,February,Assam,Urban,Miscellaneous,Residual,186.3,6.64
210,2012,2025,February,Bihar,Combined,Food and Beverages,Cereals and Products,197.4,7.99
211,2012,2025,February,Bihar,Combined,Food and Beverages,Meat and Fish,211,7.54
212,2012,2025,February,Bihar,Combined,Food and Beverages,Egg,181.9,1.28
213,2012,2025,February,Bihar,Combined,Food and Beverages,Fruits,188.9,11.31
214,2012,2025,February,Bihar,Combined,Food and Beverages,Vegetables,175.7,6.48
215,2012,2025,February,Bihar,Combined,Food and Beverages,Pulses and Products,192.5,4.45
216,2012,2025,February,Bihar,Combined,Food and Beverages,Spices,216.5,-4.25
217,2012,2025,February,Bihar,Combined,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",192.9,1.26
218,2012,2025,February,Bihar,Combined,Food and Beverages,Non-alcoholic Beverages,189.6,2.49
219,2012,2025,February,Bihar,Combined,Food and Beverages,Residual,190.5,5.95
220,2012,2025,February,Bihar,Combined,"Pan, Tobacco and Intoxicants",Residual,197.8,-1.15
221,2012,2025,February,Bihar,Combined,Clothing and Footwear,Clothing,193.5,2.82
222,2012,2025,February,Bihar,Combined,Clothing and Footwear,Footwear,176.6,0.46
223,2012,2025,February,Bihar,Combined,Clothing and Footwear,Residual,191.5,2.52
224,2012,2025,February,Bihar,Combined,Fuel and Light,Residual,169.9,-1.85
225,2012,2025,February,Bihar,Combined,Miscellaneous,Household Goods and Services,185.1,2.72
226,2012,2025,February,Bihar,Combined,Miscellaneous,Health,207,4.65
227,2012,2025,February,Bihar,Combined,Miscellaneous,Transport and Communication,176,3.65
228,2012,2025,February,Bihar,Combined,Miscellaneous,Education,185.4,2.66
229,2012,2025,February,Bihar,Combined,Miscellaneous,Residual,190.9,3.92
230,2012,2025,February,Bihar,Rural,Food and Beverages,Cereals and Products,195.5,8.01
231,2012,2025,February,Bihar,Rural,Food and Beverages,Meat and Fish,209.3,7.89
232,2012,2025,February,Bihar,Rural,Food and Beverages,Egg,179.9,1.24
233,2012,2025,February,Bihar,Rural,Food and Beverages,Fruits,189.7,11.59
234,2012,2025,February,Bihar,Rural,Food and Beverages,Vegetables,170.6,7.09
235,2012,2025,February,Bihar,Rural,Food and Beverages,Pulses and Products,191.9,4.41
236,2012,2025,February,Bihar,Rural,Food and Beverages,Spices,215.4,-4.52
237,2012,2025,February,Bihar,Rural,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",191.6,0.52
238,2012,2025,February,Bihar,Rural,Food and Beverages,Non-alcoholic Beverages,191.5,2.08
239,2012,2025,February,Bihar,Rural,Food and Beverages,Residual,188.8,5.95
240,2012,2025,February,Bihar,Rural,"Pan, Tobacco and Intoxicants",Residual,196.3,-1.65
241,2012,2025,February,Bihar,Rural,Clothing and Footwear,Clothing,193.3,2.6
242,2012,2025,February,Bihar,Rural,Clothing and Footwear,Footwear,174.3,-0.4
243,2012,2025,February,Bihar,Rural,Clothing and Footwear,Residual,191.1,2.25
244,2012,2025,February,Bihar,Rural,Fuel and Light,Residual,165.7,-1.37
245,2012,2025,February,Bihar,Rural,Miscellaneous,Household Goods and Services,187.9,2.34
246,2012,2025,February,Bihar,Rural,Miscellaneous,Health,208.2,4.52
247,2012,2025,February,Bihar,Rural,Miscellaneous,Transport and Communication,177.3,3.5
248,2012,2025,February,Bihar,Rural,Miscellaneous,Education,183.2,2.06
249,2012,2025,February,Bihar,Rural,Miscellaneous,Residual,191.9,3.62
250,2012,2025,February,Bihar,Urban,Food and Beverages,Cereals and Products,213.3,7.73
251,2012,2025,February,Bihar,Urban,Food and Beverages,Meat and Fish,227.3,4.27
252,2012,2025,February,Bihar,Urban,Food and Beverages,Egg,196.5,1.55
253,2012,2025,February,Bihar,Urban,Food and Beverages,Fruits,184.6,10.01
254,2012,2025,February,Bihar,Urban,Food and Beverages,Vegetables,219.6,2.71
255,2012,2025,February,Bihar,Urban,Food and Beverages,Pulses and Products,196.8,4.51
256,2012,2025,February,Bihar,Urban,Food and Beverages,Spices,226.3,-1.65
257,2012,2025,February,Bihar,Urban,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",203.3,7.06
258,2012,2025,February,Bihar,Urban,Food and Beverages,Non-alcoholic Beverages,177.1,5.67
259,2012,2025,February,Bihar,Urban,Food and Beverages,Residual,204.8,6.0
260,2012,2025,February,Bihar,Urban,"Pan, Tobacco and Intoxicants",Residual,216,4.65
261,2012,2025,February,Bihar,Urban,Clothing and Footwear,Clothing,195.1,4.44
262,2012,2025,February,Bihar,Urban,Clothing and Footwear,Footwear,190.8,5.76
263,2012,2025,February,Bihar,Urban,Clothing and Footwear,Residual,194.5,4.63
264,2012,2025,February,Bihar,Urban,Fuel and Light,Residual,199,-4.56
265,2012,2025,February,Bihar,Urban,Miscellaneous,Household Goods and Services,165.7,5.81
266,2012,2025,February,Bihar,Urban,Miscellaneous,Health,199.7,5.44
267,2012,2025,February,Bihar,Urban,Miscellaneous,Transport and Communication,170.3,4.41
268,2012,2025,February,Bihar,Urban,Miscellaneous,Education,191.7,4.35
269,2012,2025,February,Bihar,Urban,Miscellaneous,Residual,186.1,5.74
270,2012,2025,February,Chandigarh,Combined,Food and Beverages,Residual,190.6,3.64
